Segment	Step1	Step2	Step3	Step4	Step5	Step6
Seg1	0.043000	0.037000	0.040000	0.053000	0.075000	0.075000
Seg2	0.101000	0.120000	0.141000	0.140000	0.111000	0.121000
Seg3	0.265000	0.206000	0.169000	0.130000	0.094000	0.061000
Seg4	0.073000	0.100000	0.076000	0.120000	0.107000	0.111000
Seg5	0.069000	0.055000	0.063000	0.064000	0.071000	0.080000
Seg6	0.078000	0.090000	0.113000	0.123000	0.138000	0.127000
Seg7	0.152000	0.144000	0.161000	0.118000	0.117000	0.104000
Seg8	0.025000	0.044000	0.037000	0.038000	0.048000	0.077000
Seg9	0.114000	0.100000	0.114000	0.130000	0.125000	0.133000
Seg10	0.080000	0.104000	0.086000	0.084000	0.114000	0.111000
